title,category,publish_date,article_url
Awal Pekan IHSG Ada di Zona Hijau,detikFinance,"Senin, 29 Apr 2024 09:14 WIB",https://finance.detik.com/bursa-dan-valas/d-7315424/awal-pekan-ihsg-ada-di-zona-hijau
"Akhir Pekan, IHSG Masih Betah di Zona Merah",detikFinance,"Jumat, 26 Apr 2024 09:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7311311/akhir-pekan-ihsg-masih-betah-di-zona-merah
IHSG Pagi Ini Dibuka Hijau di Level 7.111,detikFinance,"Rabu, 24 Apr 2024 09:11 WIB",https://finance.detik.com/bursa-dan-valas/d-7307633/ihsg-pagi-ini-dibuka-hijau-di-level-7-111
"Kompak Dengan Bursa Asia, IHSG Mengawali Pekan Dengan Penguatan",detikFinance,"Senin, 22 Apr 2024 09:17 WIB",https://finance.detik.com/bursa-dan-valas/d-7303730/kompak-dengan-bursa-asia-ihsg-mengawali-pekan-dengan-penguatan
"Konflik Israel-Iran Memanas, Ini Titah Erick Thohir buat BUMN",detikFinance,"Sabtu, 20 Apr 2024 19:15 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7301830/konflik-israel-iran-memanas-ini-titah-erick-thohir-buat-bumn
Erick Thohir Terbang ke Qatar Hari Ini Cari Investor buat BSI,detikFinance,"Sabtu, 20 Apr 2024 13:45 WIB",https://finance.detik.com/moneter/d-7301630/erick-thohir-terbang-ke-qatar-hari-ini-cari-investor-buat-bsi
"Jelang Akhir Pekan, IHSG Dibuka Turun ke Level 7.166",detikFinance,"Jumat, 19 Apr 2024 09:10 WIB",https://finance.detik.com/bursa-dan-valas/d-7299479/jelang-akhir-pekan-ihsg-dibuka-turun-ke-level-7-166
"Ijo Royo-royo, IHSG Pagi-pagi Sudah Bertengger di Zona Hijau",detikFinance,"Kamis, 18 Apr 2024 09:14 WIB",https://finance.detik.com/bursa-dan-valas/d-7297704/ijo-royo-royo-ihsg-pagi-pagi-sudah-bertengger-di-zona-hijau
Wujudkan Financial Freedom dengan Memanfaatkan Fitur Investasi di BRImo,detikFinance,"Selasa, 16 Apr 2024 11:35 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7294307/wujudkan-financial-freedom-dengan-memanfaatkan-fitur-investasi-di-brimo
"Usai Libur Panjang, IHSG Dibuka Merosot ke Zona Merah",detikFinance,"Selasa, 16 Apr 2024 09:07 WIB",https://finance.detik.com/bursa-dan-valas/d-7294118/usai-libur-panjang-ihsg-dibuka-merosot-ke-zona-merah
