title,category,publish_date,article_url
Awal Pekan IHSG Dibuka ke Level 6.897,detikFinance,"Senin, 10 Jun 2024 09:08 WIB",https://finance.detik.com/bursa-dan-valas/d-7382861/awal-pekan-ihsg-dibuka-ke-level-6-897
Awal Pekan IHSG Dibuka di Zona Hijau,detikFinance,"Senin, 27 Mei  2024 09:17 WIB",https://finance.detik.com/bursa-dan-valas/d-7359044/awal-pekan-ihsg-dibuka-di-zona-hijau
"IHSG Ngegas, Dibuka di Zona Hijau!",detikFinance,"Selasa, 30 Apr 2024 09:20 WIB",https://finance.detik.com/bursa-dan-valas/d-7317324/ihsg-ngegas-dibuka-di-zona-hijau
IHSG Pagi Ini Dibuka Hijau di Level 7.111,detikFinance,"Rabu, 24 Apr 2024 09:11 WIB",https://finance.detik.com/bursa-dan-valas/d-7307633/ihsg-pagi-ini-dibuka-hijau-di-level-7-111
"Konflik Israel-Iran Memanas, Ini Titah Erick Thohir buat BUMN",detikFinance,"Sabtu, 20 Apr 2024 19:15 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7301830/konflik-israel-iran-memanas-ini-titah-erick-thohir-buat-bumn
Erick Thohir Terbang ke Qatar Hari Ini Cari Investor buat BSI,detikFinance,"Sabtu, 20 Apr 2024 13:45 WIB",https://finance.detik.com/moneter/d-7301630/erick-thohir-terbang-ke-qatar-hari-ini-cari-investor-buat-bsi
"Usai Libur Panjang, IHSG Dibuka Merosot ke Zona Merah",detikFinance,"Selasa, 16 Apr 2024 09:07 WIB",https://finance.detik.com/bursa-dan-valas/d-7294118/usai-libur-panjang-ihsg-dibuka-merosot-ke-zona-merah
Jelang Akhir Pekan IHSG Dibuka ke Zona Merah di Level 7.254,detikFinance,"Jumat, 05 Apr 2024 09:05 WIB",https://finance.detik.com/bursa-dan-valas/d-7279478/jelang-akhir-pekan-ihsg-dibuka-ke-zona-merah-di-level-7-254
IHSG Pagi Ini Dibuka di Level 7.166,detikFinance,"Kamis, 04 Apr 2024 09:08 WIB",https://finance.detik.com/bursa-dan-valas/d-7277498/ihsg-pagi-ini-dibuka-di-level-7-166
Duh IHSG Masih Loyo Terus Nih,detikFinance,"Selasa, 26 Mar 2024 09:12 WIB",https://finance.detik.com/bursa-dan-valas/d-7261675/duh-ihsg-masih-loyo-terus-nih
Erick Thohir Puji Kinerja BSI Bisa Masuk Top 10 Bank Syariah Dunia,detikFinance,"Kamis, 14 Mar 2024 22:27 WIB",https://finance.detik.com/moneter/d-7242308/erick-thohir-puji-kinerja-bsi-bisa-masuk-top-10-bank-syariah-dunia
Lebih Cepat dari Target! BSI Resmi Masuk Jajaran Top 10 Global Islamic Bank,detikFinance,"Kamis, 14 Mar 2024 19:05 WIB",https://finance.detik.com/bursa-dan-valas/d-7241978/lebih-cepat-dari-target-bsi-resmi-masuk-jajaran-top-10-global-islamic-bank
Lengkap! Ini Daftar Komisaris & Direksi BNI Terbaru,detikFinance,"Senin, 04 Mar 2024 17:48 WIB",https://finance.detik.com/bursa-dan-valas/d-7224959/lengkap-ini-daftar-komisaris-direksi-bni-terbaru
Erick Thohir Tunjuk Kepala Biro Protokol Sekretariat Presiden Jadi Komisaris BNI,detikFinance,"Senin, 04 Mar 2024 17:02 WIB",https://finance.detik.com/bursa-dan-valas/d-7224762/erick-thohir-tunjuk-kepala-biro-protokol-sekretariat-presiden-jadi-komisaris-bni
"Daftar 6 Bank dengan Aset Terbesar RI, BSI Balap CIMB Niaga",detikFinance,"Jumat, 23 Feb 2024 14:11 WIB",https://finance.detik.com/moneter/d-7208042/daftar-6-bank-dengan-aset-terbesar-ri-bsi-balap-cimb-niaga
Analis Pasar Modal Prediksi Saham BRIS Bisa Tembus Rp 2.700,detikFinance,"Kamis, 22 Feb 2024 12:41 WIB",https://finance.detik.com/bursa-dan-valas/d-7206021/analis-pasar-modal-prediksi-saham-bris-bisa-tembus-rp-2-700
"Kinerja Saham BBNI Kian Melesat Tembus ATH, Anggota DPR Beri Pujian",detikFinance,"Sabtu, 17 Feb 2024 09:49 WIB",https://finance.detik.com/moneter/d-7197887/kinerja-saham-bbni-kian-melesat-tembus-ath-anggota-dpr-beri-pujian
"Volume Transaksi Saham BSI Naik Signifikan, Tembus Rp 115,93 M di 2024",detikFinance,"Selasa, 13 Feb 2024 18:07 WIB",https://finance.detik.com/bursa-dan-valas/d-7191328/volume-transaksi-saham-bsi-naik-signifikan-tembus-rp-115-93-m-di-2024
"Mumpung IHSG Kemarin Turun, Investor Disarankan Buy On Weakness",detikFinance,"Selasa, 19 Des 2023 08:07 WIB",https://finance.detik.com/market-research/d-7097149/mumpung-ihsg-kemarin-turun-investor-disarankan-buy-on-weakness
Cek! Begini Rekomendasi Saham Hari Ini,detikFinance,"Selasa, 05 Des 2023 08:40 WIB",https://finance.detik.com/market-research/d-7072578/cek-begini-rekomendasi-saham-hari-ini
Deretan Emiten Saham di Lingkaran Koalisi Capres-Cawapres,detikFinance,"Senin, 04 Des 2023 06:30 WIB",https://finance.detik.com/bursa-dan-valas/d-7070296/deretan-emiten-saham-di-lingkaran-koalisi-capres-cawapres
"Emiten Saham di Lingkaran Capres-Cawapres, Ada Dampaknya?",detikFinance,"Minggu, 03 Des 2023 22:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7070077/emiten-saham-di-lingkaran-capres-cawapres-ada-dampaknya
BNI Raih Penghargaan The Best CEO of The Most Sustainable Bank,detikFinance,"Minggu, 03 Des 2023 14:25 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7069614/bni-raih-penghargaan-the-best-ceo-of-the-most-sustainable-bank
Dividen 'Atraktif' Jadi Cara BNI Apresiasi Pemegang Saham,detikFinance,"Kamis, 30 Nov 2023 10:17 WIB",https://finance.detik.com/bursa-dan-valas/d-7064035/dividen-atraktif-jadi-cara-bni-apresiasi-pemegang-saham
BNI Perkuat Dukungan untuk Industri Hulu Migas dan UMKM,detikFinance,"Kamis, 30 Nov 2023 09:51 WIB",https://finance.detik.com/moneter/d-7064020/bni-perkuat-dukungan-untuk-industri-hulu-migas-dan-umkm
Upaya Digitalisasi Bank BNI Genjot Pertumbuhan CASA,detikFinance,"Rabu, 08 Nov 2023 18:25 WIB",https://finance.detik.com/moneter/d-7026237/upaya-digitalisasi-bank-bni-genjot-pertumbuhan-casa
"BNI Optimistis Kredit Sesuai Target, Tumbuh 7% hingga 9% di Akhir Tahun",detikFinance,"Senin, 06 Nov 2023 09:05 WIB",https://finance.detik.com/moneter/d-7020985/bni-optimistis-kredit-sesuai-target-tumbuh-7-hingga-9-di-akhir-tahun
"Buktikan Kinerja Positif, BNI Bisa Raih Kepercayaan Penuh Investor",detikFinance,"Minggu, 05 Nov 2023 23:07 WIB",https://finance.detik.com/moneter/d-7020768/buktikan-kinerja-positif-bni-bisa-raih-kepercayaan-penuh-investor
